0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:47 +0700] "GET /LC/search?txt=l HTTP/1.1" 200 10349
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:36:47 +0700] "GET /LC/search?txt= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:10 +0700] "GET /LC/management-camera HTTP/1.1" 200 61534
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:11 +0700] "GET /LC/management-order HTTP/1.1" 200 20976
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:14 +0700] "GET /LC/detail?ma=20&theLoai=2 HTTP/1.1" 200 14430
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:20 +0700] "GET /LC/detail?ma=20&theLoai=2 HTTP/1.1" 200 14430
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:24 +0700] "GET /LC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:24 +0700] "GET /LC/home HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:25 +0700] "GET /LC/login HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:29 +0700] "POST /LC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:29 +0700] "GET /LC/home HTTP/1.1" 200 26257
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:37:38 +0700] "GET /LC/detail?ma=21&theLoai=2 HTTP/1.1" 200 22266
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:38:17 +0700] "GET /LC/category?cid=2 HTTP/1.1" 200 22304
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:38:20 +0700] "GET /LC/category?cid=1 HTTP/1.1" 200 21977
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:38:23 +0700] "GET /LC/loadLaptop?laptop=6 HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:38:25 +0700] "GET /LC/loadLaptop?laptop=12 HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:38:29 +0700] "GET /LC/home HTTP/1.1" 200 26257
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:40:30 +0700] "GET /LC/home HTTP/1.1" 200 26257
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:40:38 +0700] "GET /LC/home HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:40:40 +0700] "GET /LC/login HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:40:43 +0700] "POST /LC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:40:44 +0700] "GET /LC/home HTTP/1.1" 200 26257
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:49:13 +0700] "GET /LC/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:49:14 +0700] "GET /LC/home HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:49:21 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:49:55 +0700] "GET /LC/SetAccountAdmin.jsp HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:51:32 +0700] "GET /LC/login HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:51:38 +0700] "GET /LC/login-admin HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:51:43 +0700] "POST /LC/login-admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:51:43 +0700] "GET /LC/management-order HTTP/1.1" 200 20976
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:52:37 +0700] "GET /LC/management-order HTTP/1.1" 200 20989
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:52:41 +0700] "GET /LC/management-laptop HTTP/1.1" 200 63448
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:53:10 +0700] "GET /LC/detail?ma=32&theLoai=1 HTTP/1.1" 200 14589
0:0:0:0:0:0:0:1 - - [30/Jun/2021:11:53:25 +0700] "GET /LC/category?cid=1 HTTP/1.1" 200 16186
